text,type
ನನ್ನ ಜೀವನದಲ್ಲಿ ಸದಾ ಶಾಂತಿ ಇರುತ್ತದೆ,EMOTION
ನಾನು ಇಂದು ಮನಸ್ಸು ತುಂಬಾ ಕೆಳಗಿಳಿದಿದ್ದೇನೆ,EMOTION
ನನಗೆ ಇನ್ನೂ ತುಂಬಾ ಕೆಲಸವಿದೆ,NOEMOTION
ನನ್ನ ಮುಖ ಬಹಳ ಕಿರುಚಿದೆ,EMOTION
ನಾನು ಸಂತೋಷ್,NOEMOTION
ನಾನು ಈಗ ವಿಶ್ರಾಂತಿಯನ್ನು ಕೊಡಬೇಕಾಗಿದೆ,EMOTION
ನಾನು ಕ್ರಿಕೆಟ್ ಆಡುವುದು ಇಷ್ಟವಿಲ್ಲ,NOEMOTION
ನನ್ನ ಹೃದಯ ಸದಾ ಬಡಿದೆರೆಯಿಂದ ತುಂಬಿದೆ,EMOTION
ನಾನು ಅನುಭವಿಸಿದ ಅನುಭವಗಳು ನನ್ನ ಮೇಲೆ ಅಗಾಧ ಪ್ರಭಾವ ಬೀರಿದ್ದುವು,EMOTION
ನಾನು ನಿಜವಾಗಿಯೂ ಕಾಲೇಜಿಗೆ ಹೋಗುವುದಿಲ್ಲ,NOEMOTION
ನನ್ನ ಮನಸ್ಸಿನಲ್ಲಿ ಸದಾ ತುಂಬಾ ಸಂತೋಷ ಇರುತ್ತದೆ,EMOTION
ನಾನು ಇಂದು ಕುಳಿತು ಕಾಣುತ್ತಿರುವ ಸೂರ್ಯನು ಅದ್ಭುತವಾಗಿ ಕಾಣಿಸುತ್ತಿದೆ,EMOTION
ನನ್ನ ಮನಸ್ಸು ಆನಂದದಿಂದ ತುಂಬಿದೆ,EMOTION
ಅವರ ನಗುವಿನ ಹಿಂದೆ ಒಂದು ಕಾರಣವಿತ್ತು,EMOTION
ನಾನು ಈಗ ನೋವಿನಲ್ಲಿ ನಿರಾಸೆ ಅನುಭವಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ನಾನು ಪ್ರತಿಯೊಂದು ದಿನವೂ ಹೆಚ್ಚು ಸಂತೋಷವನ್ನು ಅನುಭವಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ಆ ಕಥೆಯು ನನ್ನ ಮನಸ್ಸಿನ ಭಾವನೆಗಳನ್ನು ಸುಲಭವಾಗಿ ಹೊಂದಿಕೊಂಡು ಹೋಯಿತು,EMOTION
ನಾನು ಈಗ ಉತ್ಸಾಹದಿಂದ ಕೂಡಿದ್ದೇನೆ,EMOTION
ನಾನು ಹೆಚ್ಚು ಕಾಲ ನಿದ್ರೆ ಮಾಡಿದ ಮೇಲೆ ಉಲ್ಲಾಸದಿಂದ ತುಂಬಿದ್ದೇನೆ,EMOTION
ನನ್ನ ಸ್ನೇಹಿತನಿಗೆ ಹುಲ್ಲು ಮಾಡಿದೆ,EMOTION
ನಾನು ಹೊಸ ಕೆಲಸ ಪ್ರಾರಂಭಿಸಿದ್ದೇನೆ,NOEMOTION
ನಾನು ಕನಸು ಕಂಡಿದ್ದೇನೆ,EMOTION
ನಾನು ಆನಂದದಿಂದ ಕೂಡಿದ್ದೇನೆ,EMOTION
ನನಗೆ ಆರೋಗ್ಯ ಸಮಸ್ಯೆ ಇಲ್ಲ,NOEMOTION
ನಾನು ವೇದನೆಯಿಂದ ನರಳುತ್ತಿದ್ದೇನೆ,EMOTION
ನನ್ನ ಸ್ನೇಹಿತರೊಂದಿಗೆ ವಿಹರಿಸುವುದು ನನಗೆ ಸಂತೋಷ,EMOTION
ನಾನು ನನ್ನ ಸಹೋದರಿಯನ್ನು ಬಹಳ ಮಿಗಿಲಾಗಿ ಪ್ರೀತಿಸುತ್ತೇನೆ,EMOTION
ನಾನು ಕೆಲಸದಲ್ಲಿ ಆಸಕ್ತಿ ಇಲ್ಲ,NOEMOTION
ನನ್ನ ಮಗು ಬಹಳ ಚಿರಸ್ಥಾಯಿಯಾಗಿದೆ,EMOTION
ನನಗೆ ಹೊಸ ಮೆಚ್ಚಿಕೆ ಸಿಕ್ಕಿದೆ,EMOTION
ನನ್ನ ಅಕ್ಕನೊಂದಿಗೆ ಸಂಭಾಷಣೆ ಮಾಡುವುದು ನನಗೆ ಸಂತೋಷ,EMOTION
ನಾನು ನೀವು ಸಂತೋಷದಿಂದ ಜೀವಿಸಬೇಕು,EMOTION
ಅವನ ಮನಸ್ಸಿನಲ್ಲಿ ಯಾವ ಆಲೋಚನೆಯೂ ಇಲ್ಲ,NOEMOTION
ಈ ನೆರಳು ಅತ್ಯಂತ ಭಯಾನಕವಾಗಿದೆ,EMOTION
ನನ್ನ ಪ್ರೀತಿ ನಿಮ್ಮ ಪಾಲಿಗೆ ಇರುವ ವಿಷಯವನ್ನು ಸಾರಿದೆ,EMOTION
ನಾನು ಅವನ ಮನಸ್ಸಿನ ಭಾವನೆಯನ್ನು ಗ್ರಹಿಸಲಾಗಲಿಲ್ಲ,NOEMOTION
ನಿಮ್ಮ ಸ್ನೇಹಿತರು ನಿಮಗೆ ದುಃಖ ಕೊಡುವುದಿಲ್ಲ,EMOTION
ನನ್ನ ಕೆಲಸವು ನನ್ನನ್ನು ಸಂತೋಷಪಡಿಸುತ್ತದೆ,EMOTION
ನನ್ನ ಜೀವನದಲ್ಲಿ ಆನಂದ ಕಡಿಮೆಯಾಗಿದೆ,EMOTION
ಈ ಸಮಯದಲ್ಲಿ ನನ್ನ ಹೃದಯ ಬಹಳ ಬೇಸರಗೊಂಡಿದೆ,EMOTION
ಅದು ನನ್ನ ಮನಸ್ಸಿನಲ್ಲಿ ಸದಾಕಾಲವೂ ಇರುವುದು,EMOTION
ನಾನು ಅವನನ್ನು ಹಾಸ್ಯ ಮಾಡಿದೆ,EMOTION
"ನಾನು ಎಷ್ಟು ಸಮಯದಿಂದ ಕಾಯುತ್ತಿದ್ದೇನೆ ತಿಳಿಯದು, ಆದರೆ ಸ್ವಲ್ಪ ಹೊತ್ತು ಮುಗಿಸುತ್ತಿದ್ದೇನೆ",EMOTION
ನಾನು ಬಂದಿರುವುದಕ್ಕೆ ಯಾವ ಕಾರಣವೂ ಇಲ್ಲ,NOEMOTION
ನನಗೆ ನೀವು ಬಾಯ್ದೆರೆದ ವಿಷಯವನ್ನು ಗೊತ್ತಿಲ್ಲ,NOEMOTION
ನಾನು ನಿಜವಾಗಿಯೂ ಈ ಪ್ರಶ್ನೆಯನ್ನು ಪರಿಹರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ,NOEMOTION
ನಾನು ಇಂದು ತುಂಬಾ ಸಮಾಧಾನದಿಂದಿದ್ದೇನೆ,EMOTION
ನನಗೆ ಸಿಕ್ಕಿದ ಕೆಲಸ ತುಂಬಾ ಕಠಿಣವಾಗಿದೆ,NOEMOTION
ನಾನು ನಿಮ್ಮೊಂದಿಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು ತುಂಬಾ ಸುಲಭವಾಗಿದೆ,EMOTION
"ನನಗೆ ನಿದ್ರೆ ಬರಲಿಲ್ಲ ಅಷ್ಟೆ, ಆದರೂ ಈಗ ಸುಖವಾಗಿದ್ದೇನೆ",EMOTION
ನನ್ನ ಬಾಯಿ ಹಸಿರು ಮರಳಿ ತೆಗೆದುಕೊಂಡು ತಿನ್ನುವುದು,EMOTION
ನಾನು ಎದೆಯಲ್ಲಿ ಅನೇಕ ಹೊಸ ಯೋಚನೆಗಳನ್ನು ಹೊತ್ತುಕೊಂಡು ಇದ್ದೇನೆ,EMOTION
ಆಕಾಶವು ನೀರಿನಂತೆ ನೀಲಿಯಾಗಿದೆ,NOEMOTION
ಕನಸು ಕಂಡುದ್ದು ಮರೆಯಲಾಗುವುದಿಲ್ಲ,EMOTION
"ನನ್ನ ಪ್ರಿಯತಮ, ನಿನ್ನ ಕಾರ್ಯದಲ್ಲಿ ನಂಬಿಕೆ ಇದೆ",EMOTION
ಸೂರ್ಯನ ಬೆಳಕು ಬಹು ಉಷ್ಣವಾಗಿದೆ,NOEMOTION
ನಾನು ಸಮುದ್ರದ ಬಳಿ ಅಲೆಯಾಗುತ್ತಿರುವೆ,EMOTION
ಕಾಡುಮನೆಯಲ್ಲಿ ಸ್ವಲ್ಪ ಬೆಳಕಿನಲ್ಲಿ ಸುಖವಾಗಿದೆ,EMOTION
ಆಕಾಶ ಒಂದು ಬೆಳಕಿನ ಸಮಾನವಾಗಿದೆ,NOEMOTION
ನಾನು ಸದಾ ನನ್ನ ಕೆಲಸಕ್ಕೆ ತೊಡಗುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನನ್ನ ಹೃದಯ ಸಂತೋಷದಿಂದ ತುಂಬಿದೆ,EMOTION
ನನ್ನ ಜೀವನದ ಅನುಭವಗಳು ನನ್ನನ್ನು ನಿರಾಶೆಗೊಳಿಸುತ್ತವೆ,EMOTION
ನಾನು ಇನ್ನೂ ನನ್ನ ಭಾವನೆಗಳನ್ನು ಹೊಸದಾಗಿ ಹೇಳಲು ಸಿದ್ಧನಿಲ್ಲ,NOEMOTION
ನಾನು ಈ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಯಶಸ್ವಿಯಾಗುವೆನೆಂದು ನಂಬುತ್ತೇನೆ,EMOTION
ನನ್ನ ಪ್ರೀತಿಯ ಮನುಷ್ಯನನ್ನು ಕಳೆದುಕೊಂಡು ನನ್ನ ಹೃದಯ ಕಂಗೆಟ್ಟಿದೆ,EMOTION
ನಾನು ಎಂದೆಂದಿಗೂ ನನ್ನ ತಂದೆಯ ಪ್ರೀತಿಯನ್ನು ಮರೆಯುವವನಲ್ಲ,EMOTION
"ನನ್ನ ಬಾಯಿಂದ ಮಾತುಗಳು ಬರುವುದೇ ಇಲ್ಲ, ಅಂದರೆ ನಾನು ಸುಮ್ಮನೆ ಕುಳಿತಿದ್ದೇನೆ",NOEMOTION
ಈ ಜೀವನದಲ್ಲಿ ಕಷ್ಟಕ್ಕೆ ಸಿಕ್ಕಿ ನಾನು ಎಂದೆಂದಿಗೂ ಬದುಕಿರಬೇಕಾಗಿದೆ,EMOTION
ನನ್ನ ಹೃದಯ ಸಂತೋಷದಿಂದ ತುಂಬಿದೆ,EMOTION
ನಾನು ಕಸಿವಿಸ್ತಾರ ಆಗಿದ್ದೇನೆ,EMOTION
ನನ್ನ ಮನಸ್ಸು ಸಂಪೂರ್ಣ ತೃಪ್ತಿಯಿಂದ ತುಂಬಿದೆ,EMOTION
ನಾನು ಚಿಂತಿಸುತ್ತಿದ್ದೇನೆ ನನ್ನ ಪ್ರೀತಿತನದ ವಿಷಯದಲ್ಲಿ,EMOTION
ನನಗೆ ಈಗ ಬಹಳ ಕಸಿವಿಸ್ತಾರ ಇದೆ,EMOTION
ನನ್ನ ಮನಸ್ಸು ತುಂಬಾ ಕೆಲಸದಲ್ಲಿ ತೊಡಗಿದೆ,EMOTION
ನಾನು ಸಂತೋಷದಿಂದ ತುಂಬಿದ ಹಿರಿಯ ವಯಸ್ಸಿನ ಮಹಿಳೆಯನ್ನು ಕಂಡು ಸಂತೋಷಿಸಿದೆ,EMOTION
ನನಗೆ ನಿದ್ರೆ ಬರುತ್ತಿಲ್ಲ ಹಾಗಾದರೆ ನನ್ನ ದಿನ ಸಾರ್ಥಕವಾಗುವುದಿಲ್ಲ,EMOTION
ನಾನು ಸಂತೋಷವಾಗಿ ನೋಡಿದ ಕೋಣೆ ಬಹಳ ಸುಂದರವಾಗಿತ್ತು,EMOTION
ನನಗೆ ಈ ಪುಸ್ತಕ ತುಂಬಾ ಇಷ್ಟ,EMOTION
ನನ್ನ ಬೆನ್ನೆಲುಬು ಬಹಳ ನೋವು ಹುಟ್ಟಿಸುತ್ತಿದೆ,EMOTION
ನನ್ನ ಸ್ನೇಹಿತ ಬಂದು ನನ್ನನ್ನು ಕೂಗಿಕೊಂಡನು,EMOTION
ನನಗೆ ಅದು ಅರ್ಥವಾಗಲಿಲ್ಲ,NOEMOTION
ನಾನು ನಿದ್ರೆಗೆ ಹೋಗುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನನ್ನ ಬಟ್ಟೆಗಳು ಕಸಿವಿಸಿದ್ದುವು,NOEMOTION
ನನ್ನ ಸ್ನೇಹಿತರು ನನ್ನ ಸಹಾಯಕ್ಕೆ ಬಂದರು,EMOTION
ನನ್ನ ತಲೆಯ ಮೇಲೆ ಸೂರ್ಯ ಬೀಳಲಿದೆ,NOEMOTION
ನನಗೆ ಈ ಪಾಕವನ್ನು ಹೇಗೆ ತಯಾರಿಸಬೇಕು ಗೊತ್ತಿಲ್ಲ,NOEMOTION
ನನ್ನ ಮನಸ್ಸು ಶಾಂತವಾಗಿದೆ,EMOTION
ನನ್ನ ನೆರಳಿನಲ್ಲಿ ಕಾಣುವ ನೀನು ಎಂದು ತಿಳಿಯದ ದುಃಖವನ್ನು ನಾನು ಅನುಭವಿಸುತ್ತಿದ್ದೇನೆ,EMOTION
ನನ್ನ ಸ್ನೇಹಿತರೊಂದಿಗೆ ಹೋಗುವುದು ನನಗೆ ಸಂತೋಷವನ್ನು ಕೊಡುತ್ತದೆ,EMOTION
"ನನ್ನ ಮನಸ್ಸು ನುಡಿಯಾಡುವುದಕ್ಕೆ ಬಯಸುತ್ತಿದೆ, ಆದರೆ ನನ್ನ ತುಟಿಗಳು ಸುಮ್ಮನಿವೆ",EMOTION
ನಾನು ಈಗ ಮನಸ್ಸಿನ ಸ್ಥಿತಿಯಲ್ಲಿ ಸ್ವಲ್ಪ ಕಳವಳವಿದೆ,EMOTION
ನಾನು ಪ್ರಪಂಚದ ಕರೆಗೆ ಸಮರ್ಥನಲ್ಲ,NOEMOTION
ನನ್ನ ವಿದ್ಯಾಭ್ಯಾಸ ಮುಂದುವರೆಯುವುದು ನನಗೆ ಆಸೆಯಿಲ್ಲ,NOEMOTION
ನಾನು ಕೆಲಸದಲ್ಲಿ ಆಸಕ್ತನಲ್ಲ,NOEMOTION
ನನ್ನ ಹೆಸರು ರಾಜೇಶ್,NOEMOTION
ನಾನು ನಿನ್ನನ್ನು ನೋಡಿದಾಗ ನನ್ನ ಹೃದಯ ಸಂತೋಷದಿಂದ ತುಂಬುತ್ತದೆ,EMOTION
ನನ್ನ ಸಹೋದರಿಯ ಮಗು ನನಗೆ ಬಹಳ ಪ್ರಿಯ,NOEMOTION
ನಾನು ಆ ಪುಸ್ತಕವನ್ನು ಓದಿ ತುಂಬಾ ಸಂತೋಷವಾಯಿತು,EMOTION
ನನ್ನ ಬಾಯಿಗೆ ಹಸಿರು ತಿಂಡಿಯ ಬಾಕಸ್ ಬರುತ್ತದೆ,NOEMOTION
ನನ್ನ ನೆಚ್ಚಿನ ಪ್ರೌಢ ಶಿಕ್ಷಕರು ನನ್ನ ಜೀವನದಲ್ಲಿ ಒಂದು ಅದ್ಭುತ ಪರಿವರ್ತನೆ ಮಾಡಿದರು,EMOTION
ನನ್ನ ಜೀವನದಲ್ಲಿ ಸಂತೋಷದ ಹೊಸ ಸಾಗರವೊಂದು ತೆರೆದಿದೆ,EMOTION
ನನ್ನ ಮುಖ ಮಂದಹಾಸದಿಂದ ಕೂಡಿದೆ,NOEMOTION
ನನ್ನ ಕನಸುಗಳು ನನ್ನ ಜೀವನದ ಆದರ್ಶಗಳನ್ನು ಹೊಂದಿವೆ,EMOTION
ನನ್ನ ಅಭಿಮಾನ ಎಲ್ಲಿಯೂ ಅಡಚಣೆಗೊಳ್ಳುವುದಿಲ್ಲ,EMOTION
ನಾನು ನನ್ನ ಜೀವನದಲ್ಲಿ ಹಲವಾರು ಪ್ರಯೋಗಗಳನ್ನು ನಡೆಸಿದ್ದೇನೆ,NOEMOTION
ನಾನು ಪ್ರತಿಯೊಂದು ದಿನವೂ ಹೊಸ ಅನುಭವಗಳನ್ನು ಪಡೆಯುತ್ತಿದ್ದೇನೆ,NOEMOTION
ನಾನು ಇಂದು ಮನೆಗೆ ಹಿಂತಿರುಗಿ ಬಂದೆ,NOEMOTION
ನಾನು ನನ್ನ ವೃತ್ತಿಯಲ್ಲಿ ನೆರವೇರಿಸಬೇಕಾದ ಕೆಲಸಗಳು ಬಹಳ ಉದ್ವೇಗಕರವಾಗಿವೆ,EMOTION
ನಾನು ನನ್ನ ಸ್ನೇಹಿತರೊಂದಿಗೆ ಸಮಯ ಕಳೆಯುವುದು ನನಗೆ ಬಹಳ ಇಷ್ಟ,EMOTION
ನನ್ನ ಪ್ರೀತಿಯವನು ನೋಡಿದಾಗ ನನಗೆ ಉತ್ಸಾಹ ಬರುತ್ತದೆ,EMOTION
ಸುಖದ ನೆಲೆಯಲ್ಲಿ ನಾನು ಇರುವುದನ್ನು ಅರಿಯಲಾಗುತ್ತದೆ,NOEMOTION
ನನ್ನ ಸ್ನೇಹಿತರು ನನಗೆ ಎಷ್ಟು ಮುಖ್ಯವಾಗಿದ್ದಾರೆ ಎಂದು ಅರಿಯುವುದು ಒಂದು ಆನಂದವಾಗಿದೆ,EMOTION
ನನ್ನ ಜೀವನದ ಕೆಲಸಕ್ಕೆ ನಾನು ದಿನವೂ ಸಮರ್ಥನಾಗಿರಬೇಕು,NOEMOTION
ನನ್ನ ಮಗುವಿನ ಗುಲಾಬಿ ಚೀಲ ನೋಡಿ ನನಗೆ ಹೃದಯದಲ್ಲಿ ಸಂತೋಷ ಉಂಟಾಗುತ್ತದೆ,EMOTION
ನಾನು ಹಗಲು ರಾತ್ರಿ ಕೆಲಸ ಮಾಡಿ ಸುಖದಿಂದ ನಿದ್ರೆ ಮಾಡಬೇಕು,NOEMOTION
ನನ್ನ ಜೀವನದಲ್ಲಿ ಕೆಲವು ವೇಳೆ ಹಿಂಸೆಯಾಗುತ್ತದೆ ಆದರೆ ನಾನು ಅದಕ್ಕೆ ಮುಂದಾಗಲು ಪ್ರಯತ್ನಿಸುತ್ತೇನೆ,
ನನ್ನ ಜೀವನದ ಅತ್ಯಂತ ಸಂತೋಷದ ಘಟನೆಯೆಂದರೆ ನನ್ನ ಮಗು ಹುಟ್ಟಿದ ದಿನ,EMOTION
ನನ್ನ ಕನಸುಗಳಲ್ಲಿ ನಾನು ಸದಾ ಹುಬ್ಬುಗಳನ್ನು ನೋಡುತ್ತೇನೆ,NOEMOTION
ನನ್ನ ಮುಖದ ಮೇಲೆ ನಿಂತು ಹುಚ್ಚು ನಗೆಯಿಂದ ಕೂಡಿದ ಮಿಂಚುಗಳು ಬರುವುವು,EMOTION
ನನ್ನ ದಿನವೆಲ್ಲಾ ತೋರಿಕೆಗೆ ಹೋಗಿದೆ,NOEMOTION
ನನ್ನ ಹೃದಯದಲ್ಲಿ ನಾನು ಹಿಂಸೆಯ ಮನೋಭಾವದಿಂದ ಹೊಮ್ಮುತ್ತಿರುವೆ,EMOTION
ನನಗೆ ಬೇರೆ ಯಾರಿಗೂ ಅರ್ಥವಾಗುವಂತೆ ಹೇಳುವುದು ಬಹಳ ಕಷ್ಟವಾಗಿದೆ,NOEMOTION
ನಾನು ಸುಖವಾಗಿದ್ದೇನೆ ಎಂದು ನನಗೆ ಅನ್ನಿಸುತ್ತದೆ,EMOTION
ನನ್ನ ಜೀವನದಲ್ಲಿ ನೀನು ಅತ್ಯಂತ ಮುಖ್ಯವಾದ ವ್ಯಕ್ತಿಯಾಗಿದ್ದೀಯೆ,EMOTION
ನಾನು ನನ್ನ ಕೆಲಸದಲ್ಲಿ ಸಮಾಧಾನವಾಗಿದ್ದೇನೆ,NOEMOTION
ನನ್ನ ವ್ಯಕ್ತಿತ್ವದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ನನಗೆ ಕೆಲವು ವಿಶೇಷ ಗುಣಗಳು ಇವೆ,EMOTION
ನಾನು ನನ್ನ ಹುಟ್ಟುಹಬ್ಬದ ಸಂಭ್ರಮದಲ್ಲಿ ಇದ್ದೆ,EMOTION
ನನ್ನ ಕೈಗಳಲ್ಲಿ ಒಂದು ಸಂತೋಷದ ಅನುಭವ ಇದೆ,EMOTION
ನಾನು ಇನ್ನೂ ಸ್ನೇಹಿತರ ಸಹವಾಸಕ್ಕೆ ಕಾಯುತ್ತಿದ್ದೇನೆ,EMOTION
ನಾನು ನನ್ನ ಪಿತೃಗಳಿಗೆ ಎಷ್ಟೋ ಋಣಿಯಾಗಿದ್ದೇನೆ,EMOTION
ನಾನು ನನ್ನ ಸ್ನೇಹಿತರ ಸಹವಾಸದಲ್ಲಿ ಸಂತೋಷವನ್ನು ಹೊಂದುತ್ತಿದ್ದೇನೆ,EMOTION
ನಾನು ಈಗ ಬಹಳ ಸಮಾಧಾನದಿಂದಿದ್ದೇನೆ,NOEMOTION
ನಾನು ನನ್ನ ಪ್ರೀತಿಯ ಮನುಷ್ಯನ ಸಂಗಡ ಹೋಗಬೇಕೆಂದು ತೀರ್ಮಾನಿಸಿದೆ,EMOTION
ಅವನು ನನ್ನ ಪ್ರಿಯ ಸ್ನೇಹಿತನಾಗಿದ್ದಾನೆ,EMOTION
ನನ್ನ ಬಾಳು ಒಂದು ಅದ್ಭುತ ಅನುಭವವಾಗಿದೆ,EMOTION
ನಾನು ಎಷ್ಟು ನೋವನ್ನು ಅನುಭವಿಸುತ್ತಿದ್ದೇನೆ ಎಂಬುದು ಅವನಿಗೆ ತಿಳಿದಿರಬಹುದು,EMOTION
ನಾನು ಈ ಕೆಲಸವನ್ನು ಅರ್ಧದಲ್ಲೇ ನಿಲ್ಲಿಸಬೇಕೆಂದು ನಿರ್ಧರಿಸಿದೆ,EMOTION
ನನಗೆ ಈಗ ನಿದ್ರೆ ಬರುತ್ತಿಲ್ಲ,NOEMOTION
ನನ್ನ ವೃತ್ತಿ ಸಂತೋಷದಾಯಕವಾಗಿದೆ,NOEMOTION
ಅವಳು ಒಂದು ಚೆನ್ನಾಗಿದ್ದಾಳೆ,NOEMOTION
ನಾನು ಈಗ ನಿಮ್ಮ ಸಹಾಯಕ್ಕೆ ಬರಬಹುದು,NOEMOTION
